NC_010554.1 Proteus mirabilis HI4320, complete genome
NZ_LJCS01000104.1 Photorhabdus heterorhabditis strain VMG contig104, whole genome shotgun sequence
NZ_LJCS01000105.1 Photorhabdus heterorhabditis strain VMG contig105, whole genome shotgun sequence
NZ_LJCS01000106.1 Photorhabdus heterorhabditis strain VMG contig106, whole genome shotgun sequence
NZ_LJCS01000107.1 Photorhabdus heterorhabditis strain VMG contig107, whole genome shotgun sequence
NZ_LJCS01000108.1 Photorhabdus heterorhabditis strain VMG contig108, whole genome shotgun sequence
NZ_LJCS01000109.1 Photorhabdus heterorhabditis strain VMG contig109, whole genome shotgun sequence
NZ_LJCS01000110.1 Photorhabdus heterorhabditis strain VMG contig110, whole genome shotgun sequence
NZ_LJCS01000111.1 Photorhabdus heterorhabditis strain VMG contig111, whole genome shotgun sequence
NZ_LJCS01000112.1 Photorhabdus heterorhabditis strain VMG contig112, whole genome shotgun sequence
NZ_LJCS01000113.1 Photorhabdus heterorhabditis strain VMG contig113, whole genome shotgun sequence
NZ_LJCS01000114.1 Photorhabdus heterorhabditis strain VMG contig114, whole genome shotgun sequence
NZ_LJCS01000115.1 Photorhabdus heterorhabditis strain VMG contig115, whole genome shotgun sequence
NZ_LJCS01000116.1 Photorhabdus heterorhabditis strain VMG contig116, whole genome shotgun sequence
NZ_LJCS01000117.1 Photorhabdus heterorhabditis strain VMG contig117, whole genome shotgun sequence
NZ_LJCS01000118.1 Photorhabdus heterorhabditis strain VMG contig118, whole genome shotgun sequence
NZ_LJCS01000119.1 Photorhabdus heterorhabditis strain VMG contig119, whole genome shotgun sequence
NZ_LJCS01000120.1 Photorhabdus heterorhabditis strain VMG contig120, whole genome shotgun sequence
NZ_LJCS01000121.1 Photorhabdus heterorhabditis strain VMG contig121, whole genome shotgun sequence
NZ_LJCS01000122.1 Photorhabdus heterorhabditis strain VMG contig122, whole genome shotgun sequence
NZ_LJCS01000123.1 Photorhabdus heterorhabditis strain VMG contig123, whole genome shotgun sequence
NZ_LJCS01000124.1 Photorhabdus heterorhabditis strain VMG contig124, whole genome shotgun sequence
NZ_LJCS01000125.1 Photorhabdus heterorhabditis strain VMG contig125, whole genome shotgun sequence
NZ_LJCS01000126.1 Photorhabdus heterorhabditis strain VMG contig126, whole genome shotgun sequence
NZ_LJCS01000127.1 Photorhabdus heterorhabditis strain VMG contig127, whole genome shotgun sequence
NZ_LJCS01000128.1 Photorhabdus heterorhabditis strain VMG contig128, whole genome shotgun sequence
NZ_LJCS01000129.1 Photorhabdus heterorhabditis strain VMG contig129, whole genome shotgun sequence
NZ_LJCS01000130.1 Photorhabdus heterorhabditis strain VMG contig130, whole genome shotgun sequence
NZ_LJCS01000131.1 Photorhabdus heterorhabditis strain VMG contig131, whole genome shotgun sequence
NZ_LJCS01000132.1 Photorhabdus heterorhabditis strain VMG contig132, whole genome shotgun sequence
NZ_LJCS01000133.1 Photorhabdus heterorhabditis strain VMG contig133, whole genome shotgun sequence
NZ_LJCS01000134.1 Photorhabdus heterorhabditis strain VMG contig134, whole genome shotgun sequence
NZ_LJCS01000135.1 Photorhabdus heterorhabditis strain VMG contig135, whole genome shotgun sequence
NZ_LJCS01000136.1 Photorhabdus heterorhabditis strain VMG contig136, whole genome shotgun sequence
NZ_LJCS01000137.1 Photorhabdus heterorhabditis strain VMG contig137, whole genome shotgun sequence
NZ_LJCS01000138.1 Photorhabdus heterorhabditis strain VMG contig138, whole genome shotgun sequence
NZ_LJCS01000139.1 Photorhabdus heterorhabditis strain VMG contig139, whole genome shotgun sequence
NZ_LJCS01000140.1 Photorhabdus heterorhabditis strain VMG contig140, whole genome shotgun sequence
NZ_LJCS01000141.1 Photorhabdus heterorhabditis strain VMG contig141, whole genome shotgun sequence
NZ_LJCS01000142.1 Photorhabdus heterorhabditis strain VMG contig142, whole genome shotgun sequence
NZ_LJCS01000143.1 Photorhabdus heterorhabditis strain VMG contig143, whole genome shotgun sequence
NZ_LJCS01000144.1 Photorhabdus heterorhabditis strain VMG contig144, whole genome shotgun sequence
NZ_LJCS01000145.1 Photorhabdus heterorhabditis strain VMG contig145, whole genome shotgun sequence
NZ_LJCS01000146.1 Photorhabdus heterorhabditis strain VMG contig146, whole genome shotgun sequence
NZ_LJCS01000147.1 Photorhabdus heterorhabditis strain VMG contig147, whole genome shotgun sequence
NZ_LJCS01000148.1 Photorhabdus heterorhabditis strain VMG contig148, whole genome shotgun sequence
NZ_LJCS01000149.1 Photorhabdus heterorhabditis strain VMG contig149, whole genome shotgun sequence
NZ_LJCS01000150.1 Photorhabdus heterorhabditis strain VMG contig150, whole genome shotgun sequence
NZ_LJCS01000151.1 Photorhabdus heterorhabditis strain VMG contig151, whole genome shotgun sequence
NZ_LJCS01000152.1 Photorhabdus heterorhabditis strain VMG contig152, whole genome shotgun sequence
NZ_LJCS01000153.1 Photorhabdus heterorhabditis strain VMG contig153, whole genome shotgun sequence
NZ_LJCS01000154.1 Photorhabdus heterorhabditis strain VMG contig154, whole genome shotgun sequence
NZ_LJCS01000155.1 Photorhabdus heterorhabditis strain VMG contig155, whole genome shotgun sequence
NZ_LJCS01000156.1 Photorhabdus heterorhabditis strain VMG contig156, whole genome shotgun sequence
NZ_LJCS01000157.1 Photorhabdus heterorhabditis strain VMG contig157, whole genome shotgun sequence
NZ_LJCS01000158.1 Photorhabdus heterorhabditis strain VMG contig158, whole genome shotgun sequence
NZ_LJCS01000159.1 Photorhabdus heterorhabditis strain VMG contig159, whole genome shotgun sequence
NZ_LJCS01000160.1 Photorhabdus heterorhabditis strain VMG contig160, whole genome shotgun sequence
NZ_LJCS01000161.1 Photorhabdus heterorhabditis strain VMG contig161, whole genome shotgun sequence
NZ_LJCS01000162.1 Photorhabdus heterorhabditis strain VMG contig162, whole genome shotgun sequence
NZ_LJCS01000163.1 Photorhabdus heterorhabditis strain VMG contig163, whole genome shotgun sequence
NZ_LJCS01000164.1 Photorhabdus heterorhabditis strain VMG contig164, whole genome shotgun sequence
NZ_LJCS01000165.1 Photorhabdus heterorhabditis strain VMG contig165, whole genome shotgun sequence
NZ_LJCS01000166.1 Photorhabdus heterorhabditis strain VMG contig166, whole genome shotgun sequence
NZ_LJCS01000167.1 Photorhabdus heterorhabditis strain VMG contig167, whole genome shotgun sequence
NZ_LJCS01000168.1 Photorhabdus heterorhabditis strain VMG contig168, whole genome shotgun sequence
NZ_LJCS01000169.1 Photorhabdus heterorhabditis strain VMG contig169, whole genome shotgun sequence
NZ_LJCS01000170.1 Photorhabdus heterorhabditis strain VMG contig170, whole genome shotgun sequence
NZ_LJCS01000171.1 Photorhabdus heterorhabditis strain VMG contig171, whole genome shotgun sequence
NZ_LJCS01000172.1 Photorhabdus heterorhabditis strain VMG contig172, whole genome shotgun sequence
NZ_LJCS01000173.1 Photorhabdus heterorhabditis strain VMG contig173, whole genome shotgun sequence
NZ_LJCS01000174.1 Photorhabdus heterorhabditis strain VMG contig174, whole genome shotgun sequence
NZ_LJCS01000175.1 Photorhabdus heterorhabditis strain VMG contig175, whole genome shotgun sequence
NZ_LJCS01000176.1 Photorhabdus heterorhabditis strain VMG contig176, whole genome shotgun sequence
NZ_LJCS01000177.1 Photorhabdus heterorhabditis strain VMG contig177, whole genome shotgun sequence
NZ_LJCS01000178.1 Photorhabdus heterorhabditis strain VMG contig178, whole genome shotgun sequence
NZ_LJCS01000179.1 Photorhabdus heterorhabditis strain VMG contig179, whole genome shotgun sequence
NZ_LJCS01000180.1 Photorhabdus heterorhabditis strain VMG contig180, whole genome shotgun sequence
NZ_LJCS01000181.1 Photorhabdus heterorhabditis strain VMG contig181, whole genome shotgun sequence
NZ_LJCS01000182.1 Photorhabdus heterorhabditis strain VMG contig182, whole genome shotgun sequence
